CustomerID,CustomerName,Region,SignupDate,TotalValue,Quantity,Cluster
C0085,Richard Brown,South America,22-09-2024,2598.33,7.0,1
C0086,Stephanie Peterson,Europe,18-09-2022,2754.68,13.0,1
C0087,Travis Campbell,South America,11-04-2024,6604.23,22.0,0
C0088,Carlos Murray,Asia,14-05-2023,2135.38,10.0,2
C0089,Paul Carter,Europe,02-04-2024,2556.2200000000003,7.0,1
C0090,Charles Hamilton,Asia,17-10-2023,4138.16,16.0,1
C0091,Lisa Kirk,South America,16-03-2023,3137.66,20.0,1
C0092,Jacqueline Zamora,Asia,29-05-2024,3015.95,10.0,1
C0093,Nancy Walker,Asia,13-07-2024,5294.99,19.0,0
C0094,Emily Trevino,North America,16-09-2023,1166.97,9.0,2
C0095,William Walker,South America,04-03-2023,1284.27,5.0,2
C0096,Benjamin Mcclure,South America,18-11-2022,6072.92,16.0,0
C0097,Tina Ford,Asia,18-12-2023,137.54,1.0,2
C0098,Laura Gilbert,North America,21-10-2024,3158.02,14.0,1
C0099,Rodney Eaton,South America,29-01-2023,6715.72,21.0,0
C0100,Clinton Gomez,Europe,16-03-2023,5003.45,14.0,0
C0101,Kelsey Roberts,Asia,30-09-2023,5550.99,20.0,0
C0102,Michael Atkinson,South America,16-09-2022,6132.360000000001,21.0,0
C0103,Jennifer Munoz,Europe,15-05-2022,2462.5499999999997,7.0,1
C0104,Laura Bennett,South America,10-02-2022,6579.1,21.0,0
C0105,Ryan Hampton,Europe,11-11-2024,4807.45,16.0,0
C0106,Amanda Mcguire,Asia,22-09-2022,2939.3,13.0,1
C0107,Dana Cantrell,South America,07-02-2023,3623.92,12.0,1
C0108,David Davis,South America,28-09-2022,4848.54,16.0,0
C0109,Abigail Jones,North America,09-05-2022,5487.25,32.0,0
C0110,Elizabeth Wells,Asia,21-09-2024,942.32,4.0,2
C0111,Roger David,Europe,13-11-2024,1973.02,16.0,2
C0112,Brian Adkins,South America,07-07-2022,1959.51,8.0,2
C0113,Joseph Ortiz Jr.,South America,17-06-2022,4812.1,22.0,0
C0114,Benjamin Anderson,Europe,18-11-2024,5780.43,18.0,0
C0115,Joshua Hamilton,Asia,11-11-2024,3137.18,8.0,1
C0116,James Martinez,North America,11-09-2024,2758.6800000000003,11.0,1
C0117,Jeffrey Mcmahon,North America,22-11-2024,4028.2700000000004,12.0,1
C0118,Jacob Holt,South America,22-01-2022,3434.77,10.0,1
C0119,David Armstrong,Europe,13-11-2023,1191.61,6.0,2
C0120,Francisco Diaz,South America,13-01-2023,2470.02,9.0,1
C0121,Mark Atkinson,Europe,23-07-2023,974.52,8.0,2
C0122,Corey Ruiz,North America,06-05-2022,5072.55,17.0,0
C0123,Jason Johnston,Asia,05-11-2023,1400.06,4.0,2
C0124,Lindsay Perez,Europe,26-08-2024,4264.33,19.0,1
C0125,Nicholas Taylor,North America,18-12-2022,2973.96,10.0,1
C0126,Caitlin Brown,South America,20-02-2024,4565.57,13.0,0
C0127,Kathryn Stevens,Europe,04-04-2024,3232.88,11.0,1
C0128,Henry Leach,Asia,29-05-2023,773.19,3.0,2
C0129,Marcus Livingston,South America,14-04-2024,2339.61,9.0,1
C0130,Robert Jones,South America,19-04-2023,601.36,2.0,2
C0131,Scott Wilson,North America,05-06-2022,1943.82,7.0,2
C0132,Lisa Jackson,Europe,01-02-2023,1851.2599999999998,8.0,2
C0133,Gwendolyn Carter,South America,11-03-2023,2884.33,11.0,1
C0134,Theresa Gonzalez,Asia,19-02-2022,2679.28,16.0,1
C0135,Toni Weaver,Europe,23-08-2022,3135.58,10.0,1
C0136,Kristen Holder,Asia,14-03-2024,4298.99,21.0,1
C0137,Robert Gardner,South America,09-04-2024,3332.55,11.0,1
C0138,Cynthia Clayton,Asia,01-11-2024,5610.25,17.0,0
C0139,Ricky Gutierrez,North America,14-03-2022,3703.64,13.0,1
C0140,Gregory Estrada,Asia,01-07-2023,1888.1399999999999,5.0,2
C0141,Paul Parsons,Europe,23-02-2023,10673.869999999999,27.0,0
C0142,Nicole Long DVM,Asia,08-02-2024,2239.04,11.0,2
C0143,Brian Parker,Asia,27-05-2024,6044.63,21.0,0
C0144,Andrea Hart,North America,30-09-2024,1304.6799999999998,8.0,2
C0145,Wayne Stone,Asia,13-01-2023,5771.27,20.0,0
C0146,Brittany Harvey,Asia,04-09-2024,2570.8,8.0,1
C0147,Hunter Fuller,South America,16-05-2022,2948.44,14.0,1
C0148,Matthew Rogers,South America,16-04-2023,5457.79,18.0,0
C0149,Tina Wilson,Europe,21-01-2023,4404.78,15.0,1
C0150,Angela Williams,South America,13-09-2022,580.34,2.0,2
C0151,Amber Gonzalez,South America,22-11-2024,223.96,4.0,2
C0152,Justin Evans,South America,19-04-2022,3385.8599999999997,10.0,1
C0153,Justin Smith,South America,20-03-2022,4744.79,17.0,0
C0154,Robert Sharp,North America,27-10-2024,3703.61,11.0,1
C0155,Michelle Brown,South America,23-03-2023,5377.83,17.0,0
C0156,William Adams,North America,19-08-2023,7634.45,28.0,0
C0157,Miguel Wong,North America,30-01-2024,1876.1,10.0,2
C0158,Wendy Browning,South America,12-04-2023,3716.52,9.0,1
C0159,Austin Miller,Asia,06-08-2022,2072.41,8.0,2
C0160,Jodi Cook,North America,05-04-2022,2926.93,14.0,1
C0161,Jessica Warren,Asia,14-03-2022,3141.83,14.0,1
C0162,Edwin Watson,Asia,29-03-2022,4802.24,20.0,0
C0163,Tiffany Cain,South America,08-06-2023,5775.28,19.0,0
C0164,Morgan Perez,Europe,01-06-2023,3087.69,10.0,1
C0165,Juan Mcdaniel,South America,09-04-2022,6708.1,30.0,0
C0166,John Rogers,Europe,13-02-2022,2405.3500000000004,11.0,1
C0167,Brandy Welch,Europe,27-01-2024,2300.42,8.0,1
C0168,Karen Clements MD,South America,13-12-2022,5053.83,12.0,0
C0169,Jennifer Shaw,South America,13-04-2023,4533.32,20.0,0
C0170,Logan Harris,Europe,13-09-2023,4931.74,15.0,0
C0171,Michael Cowan,South America,16-12-2022,5145.35,15.0,0
C0172,Jamie Webb,Europe,09-09-2024,2201.7,10.0,2
C0173,Francisco Young,Asia,06-10-2022,5808.04,20.0,0
C0174,Tracy Steele,South America,03-11-2022,2891.95,12.0,1
C0175,Matthew Johnson,Asia,16-04-2022,6210.53,26.0,0
C0176,Nicole Booth,North America,23-03-2022,2331.32,12.0,1
C0177,Julia Kelly,Asia,01-06-2024,2509.81,9.0,1
C0178,Carol Williams,Asia,19-11-2023,2708.83,9.0,1
C0179,Donald Miller,Europe,16-10-2022,3652.83,14.0,1
C0180,Amy Carpenter,Asia,25-10-2023,0.0,0.0,2
C0181,Alexander Barker,South America,16-11-2023,3347.6000000000004,15.0,1
C0182,Joshua Preston,Europe,28-12-2024,4980.7699999999995,17.0,0
C0183,Kimberly Johnson,North America,23-01-2024,3850.2200000000003,12.0,1
C0184,Tina Jacobs,South America,13-05-2022,3393.1800000000003,11.0,1
C0185,Kathleen Logan,North America,17-10-2023,3424.3199999999997,9.0,1
C0186,Amber Alexander,Asia,11-10-2023,1761.6399999999999,7.0,2
C0187,Kayla Kelly,South America,02-08-2024,4612.44,11.0,0
C0188,Anna Ball,South America,17-05-2022,7111.320000000001,21.0,0
C0189,Sherri Dixon,North America,22-01-2024,2643.21,11.0,1
C0190,Alexander Lowe,South America,31-05-2024,2983.02,14.0,1
C0191,Samantha Gibson DVM,South America,07-04-2024,2997.9700000000003,11.0,1
C0192,Sarah Arias,South America,15-09-2022,2072.7200000000003,8.0,2
C0193,Douglas Torres,Asia,03-02-2023,3009.2900000000004,11.0,1
C0194,Stacy Cook,North America,04-05-2024,3869.17,14.0,1
C0195,Jeremy Mclaughlin,South America,17-09-2024,4036.27,17.0,1
C0196,Laura Watts,Europe,07-06-2022,4982.88,12.0,0
C0197,Christina Harvey,Europe,21-03-2023,1928.65,9.0,2
C0198,Rebecca Ray,Europe,27-02-2022,931.83,3.0,2
C0199,Andrea Jenkins,Europe,03-12-2022,1979.28,9.0,2
C0200,Kelly Cross,Asia,11-06-2023,4758.6,16.0,0
